"ļ»æ""Species""",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Fish total,90904.0,88631.0,72381.0,70107.0,34715.0,25887.0,37436.0,25686.0,24695.0,15548.0,17056.0,16008.0,16820.0,16538.0,14028.33,14930.0,14559.06,10881.09,12843.52,14588.73,11990.76,11955.58,10850.35,10994.51,12027.44,15134.53,17154.01,17834.83,14893.07,14052.36,15681.69,13853.96,12331.61
Atlantic cod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,23.0,23.0,29.0,33.0,52.45,25.0,73.26,127.95,92.53,105.08,285.26,730.42,906.8,989.05,528.88,2543.66,2031.04,2158.84,1288.7,1015.57,798.2,745.52,854.56
Sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,4.0,0.0,22.0,10.02,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sea bream,49.0,91.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlantic halibut,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,3.31,2.8,9.75,11.39,25.03,21.87,29.95,41.35,43.61,43.82,30.69,37.64,31.31,0.0,0.0
Krill,2352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
American plaice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,54.0,23.0,76.0,0.0,47.0,33.97,33.0,76.63,28.58,9.47,35.51,37.46,225.8,1176.66,536.59,1104.59,1249.48,1690.46,1071.4,1000.27,585.08,488.17,257.92,225.4
Silver hake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.88,114.33,56.7,54.54,21.39,0.0,19.52,522.61,142.01,0.0,0.0
Angel shark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Octopuses,6568.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roundnose grenadier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,701.0,850.0,135.0,170.0,154.0,104.07,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08,0.0,0.0,0.45
Squids,0.0,0.0,0.0,0.0,2425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522.83,0.0,0.0,5.32,42.69,329.31,1248.09,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,8.75,0.0,0.0,0.0
Shrimps,0.0,0.0,1050.0,2379.0,3220.0,4991.0,7367.0,12448.0,12751.0,11236.0,14235.0,12884.0,14136.0,12381.0,9242.46,12076.0,12741.77,8587.38,9037.37,9919.11,7575.57,6653.39,5665.06,6650.57,6953.86,7412.94,8018.56,9794.71,9174.08,8810.39,11281.88,12752.42,10990.28
Winter flounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Splendid alfonsino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cutlassfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capelin,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlantic mackerel,1723.0,4514.0,3632.0,5277.0,8227.0,8304.0,14559.0,7012.0,2673.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue grenadier,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlantic redfish,1843.0,4440.0,18010.0,17717.0,7092.0,3720.0,3968.0,2108.0,8608.0,785.0,40.0,64.0,122.0,1111.0,1155.97,1040.0,1003.07,1748.08,1340.11,1075.4,368.25,1572.61,1300.13,1512.24,1655.95,2198.33,3590.35,3251.92,1820.27,1707.44,2018.28,0.0,0.49
Wolffishes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,27.0,0.0,74.0,63.24,10.0,2.32,4.64,12.47,0.0,0.0,1.11,14.14,0.92,7.65,30.08,35.98,15.36,2.97,0.0,0.0,0.0,0.38
Witch flounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,43.0,74.0,31.0,28.32,24.0,37.99,7.82,11.08,13.95,32.91,15.6,40.36,22.29,39.77,66.34,30.59,26.95,126.7,73.12,3.79,0.0,0.0
Red hake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,47.0,26.29,2.0,0.0,0.0,18.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue whiting,6156.0,1077.0,4342.0,13715.0,10982.0,5678.0,6321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roughhead grenadier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,217.0,103.0,95.26,69.0,131.85,41.13,92.97,115.95,72.04,109.61,136.37,26.03,13.18,22.99,11.68,3.41,10.54,45.97,2.53,0.0,0.0
Skate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1079.0,334.0,882.0,857.0,541.0,257.97,366.0,123.23,28.83,227.7,82.01,160.97,155.45,246.0,46.61,161.97,303.81,46.36,6.88,2.27,26.29,26.66,0.0,0.0
Yellowtail flounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,47.0,14.0,56.0,20.0,20.0,6.49,25.0,32.57,0.0,3.6,12.77,31.91,350.2,24.23,342.21,351.43,38.51,346.75,358.28,335.48,314.71,393.14,0.0,0.0
Saithe,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
European pilchard,6782.0,1152.0,916.0,163.0,274.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sardinellas,0.0,4786.0,450.0,0.0,252.0,415.0,3169.0,2474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blue ling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,22.0,5.0,0.0,5.0,2.59,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlantic horse mackerel,46101.0,55172.0,41781.0,30644.0,1983.0,2283.0,1583.0,1621.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black scabbardfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,11.0,6.18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greenland halibut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,912.0,1125.0,1673.0,791.0,534.0,784.57,366.0,299.04,300.28,441.45,279.3,266.02,727.11,1037.17,693.93,1092.35,1141.52,1286.17,1103.26,1066.74,897.33,495.28,98.11,260.04
Black drum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
White hake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,102.0,1.0,0.0,32.0,19.28,0.0,0.0,0.0,0.07,0.53,1.62,0.0,0.0,0.19,0.77,0.0,10.35,1.94,0.0,0.0,0.0
Butterfish,0.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other fish,19298.0,15172.0,2200.0,31.0,148.0,0.0,469.0,23.0,0.0,0.0,66.0,0.0,255.0,1423.0,1631.86,704.0,15.54,1.08,1509.99,2617.55,1902.47,35.63,125.9,37.87,31.19,30.71,0.29,0.0,4.48,1.44,0.44,0.0,0.0
