Type of meat,Year,"Changes in stocks, thousand tons","Domestic use, thousand tons","Exports of live animals for slaughtering, thousand tons","Exports of meat, thousand tons","Gross indigenous production*, thousand tons","Human consumption per capita**, kilograms","Human consumption, thousand tons","Imports of live animals for slaughtering, thousand tons","Imports of meat, thousand tons","Loss, thousand tons","Used as animal feed, thousand tons"
Beef,2002,0.3,16.7,0.0,1.4,16.5,12.1,16.7,0.0,1.9,0.0,0.0
Beef,2003,-0.3,13.3,0.0,1.6,13.1,9.7,13.3,0.0,1.5,0.0,0.0
Beef,2004,-0.1,16.3,0.0,0.8,14.5,12.0,16.3,0.0,2.5,0.0,0.0
Beef,2005,0.2,16.3,0.0,1.9,13.4,12.0,16.3,0.0,5.0,0.0,0.0
Beef,2006,0.3,18.4,0.0,1.4,15.3,13.7,18.4,0.0,4.8,0.0,0.0
Beef,2007,0.3,18.6,0.0,1.1,15.4,13.9,18.6,0.0,4.6,0.0,0.0
Beef,2008,0.2,17.9,0.0,2.8,14.3,13.4,17.9,0.0,6.6,0.0,0.0
Beef,2009,-0.6,17.0,0.0,2.1,14.2,12.7,17.0,0.0,4.3,0.0,0.0
Beef,2010,-0.2,15.7,0.0,3.0,12.9,11.8,15.7,0.0,5.6,0.0,0.0
Beef,2011,-0.2,15.0,0.0,4.7,12.2,11.3,15.0,0.0,7.3,0.0,0.0
Beef,2012,0.6,12.8,0.0,5.3,12.3,9.7,12.8,0.0,6.4,0.0,0.0
Beef,2013,-0.1,9.2,0.0,6.6,11.5,7.0,9.2,0.0,4.2,0.0,0.0
Beef,2014,-0.2,9.8,0.0,5.6,11.9,7.5,9.8,0.0,3.3,0.0,0.0
Beef,2015,0.0,10.7,0.0,8.1,15.0,8.1,10.7,0.0,3.8,0.0,0.0
Beef,2016,0.4,11.6,0.0,7.6,14.8,8.8,11.6,0.0,4.8,0.0,0.0
Beef,2017,-0.3,12.6,0.0,5.7,12.0,9.6,12.6,0.0,6.0,0.0,0.0
Beef,2018,0.0,13.3,0.0,6.7,12.5,10.0,13.2,0.0,7.5,0.0,0.0
Beef,2019,0.0,12.8,0.0,5.7,11.4,9.7,12.8,0.0,7.1,0.0,0.0
Beef,2020,0.0,12.2,0.0,6.3,11.9,9.2,12.2,0.0,6.6,0.0,0.0
Beef,2021,0.0,12.6,0.0,7.5,12.8,9.5,12.6,0.0,7.3,0.0,0.0
Beef,2022,0.0,11.4,0.0,7.5,12.0,8.6,11.4,0.0,6.9,0.0,0.0
Beef,2023,0.0,10.5,0.0,8.4,12.4,7.7,10.5,0.0,6.5,0.0,0.0
