"ļ»æ""County""",Year,Total,Sowing,Planting,..planting of spruce,..planting of pine,..planting of birch,..planting of other tree species,Contribution to natural forest renewal
Whole country,1991,7741.0,1215.0,5499.0,..,..,..,..,1027.0
Whole country,1992,4354.1,780.0,3041.9,..,..,..,..,532.2
Whole country,1993,4474.9,1061.8,2889.1,..,..,..,..,524.0
Whole country,1994,4813.1,1252.1,2933.5,..,..,..,..,627.5
Whole country,1995,5252.6,1303.0,2981.5,..,..,..,..,968.1
Whole country,1996,5407.9,1392.3,3003.2,..,..,..,..,1012.4
Whole country,1997,6064.4,1441.3,3493.8,..,..,..,..,1129.3
Whole country,1998,6840.2,1679.3,3814.3,..,..,..,..,1346.6
Whole country,1999,8134.8,1622.5,4513.1,3286.6,842.3,319.5,64.7,1999.2
Whole country,2000,9161.5,1697.6,4960.8,3433.2,1024.5,459.6,43.5,2503.1
Whole country,2001,9811.6,1280.1,5804.6,3690.2,1348.6,755.1,10.7,2726.9
Whole country,2002,10004.4,1203.8,5649.0,3557.1,1141.4,921.0,29.5,3151.6
Whole country,2003,11307.3,1694.8,6029.1,4044.5,1163.5,746.8,74.3,3583.4
Whole country,2004,10550.7,1309.1,6262.8,4571.5,961.2,691.2,38.9,2978.8
Whole country,2005,8184.0,1311.5,6027.2,4405.1,890.2,644.4,87.5,845.3
Whole country,2006,8348.8,1490.1,6219.3,4377.5,906.6,858.4,76.8,639.4
Whole country,2007,7256.7,907.5,5907.4,4097.5,1088.9,680.6,40.4,441.8
Whole country,2008,8366.3,1234.0,6619.9,4792.2,1054.5,711.6,61.6,512.4
Whole country,2009,8227.5,1084.1,6031.0,4442.9,997.2,520.1,70.9,1112.4
Whole country,2010,8821.4,1274.6,6366.0,4644.5,1185.9,502.8,32.8,1180.8
Whole country,2011,9577.5,1038.7,7129.3,4774.7,1731.9,583.2,39.5,1409.5
Whole country,2012,11504.2,1241.8,8957.5,5703.5,2633.2,580.8,40.0,1305.0
Whole country,2013,12771.8,855.9,9778.8,6539.6,2530.7,668.8,39.6,2137.2
Whole country,2014,8012.0,616.9,5784.8,2781.5,2531.7,458.1,13.5,1610.3
Whole country,2015,8274.9,466.4,6068.0,3121.2,2427.4,503.4,16.0,1740.5
Whole country,2016,8355.4,231.3,6443.4,3033.0,2609.8,765.7,34.9,1680.7
Whole country,2017,9571.7,310.7,7140.5,4046.2,2614.0,469.3,11.0,2120.5
Whole country,2018,9830.9,362.2,7159.1,4098.3,2434.7,614.1,12.0,2309.6
Whole country,2019,10421.7,221.0,8333.4,4204.1,3111.4,976.9,41.1,1867.3
Whole country,2020,9718.5,220.6,8305.5,4599.3,2848.0,858.2,0.0,1192.4
Whole country,2021,10201.4,231.7,9394.8,5164.9,3142.1,1087.8,0.0,574.9
Whole country,2022,10461.7,0.0,9747.1,5343.5,3190.4,1111.9,101.3,714.5
Whole country,2023,10320.1,12.6,8928.7,5489.8,2892.2,504.1,42.6,1378.8
Whole country,2024,9172.6,0.0,8188.8,4636.6,2321.1,913.9,317.3,983.8
Harju county,1991,..,..,..,..,..,..,..,..
Harju county,1992,..,..,..,..,..,..,..,..
Harju county,1993,285.2,143.0,135.2,..,..,..,..,7.0
Harju county,1994,390.5,148.5,226.0,..,..,..,..,16.0
Harju county,1995,366.5,130.7,204.3,..,..,..,..,31.5
Harju county,1996,404.2,124.5,211.1,..,..,..,..,68.6
Harju county,1997,428.5,159.2,218.3,..,..,..,..,51.0
Harju county,1998,394.2,159.8,172.0,..,..,..,..,62.4
Harju county,1999,339.0,113.6,163.1,124.1,26.4,12.6,0.0,62.3
Harju county,2000,427.5,104.0,246.1,157.0,61.9,22.8,4.4,77.4
Harju county,2001,449.7,84.6,251.3,163.1,47.2,41.0,0.0,113.8
Harju county,2002,505.6,89.5,298.6,188.2,55.4,52.1,2.9,117.5
Harju county,2003,523.9,59.8,213.9,129.7,29.0,48.4,6.8,250.2
Harju county,2004,497.4,92.5,284.5,222.4,19.9,32.5,9.7,120.4
Harju county,2005,293.5,81.6,179.3,133.3,26.2,16.5,3.3,32.6
Harju county,2006,329.9,75.3,222.2,146.2,37.6,37.1,1.3,32.4
Harju county,2007,423.5,105.9,291.3,201.8,52.7,35.6,1.2,26.3
Harju county,2008,439.8,95.7,274.8,185.0,58.9,30.9,0.0,69.3
Harju county,2009,394.4,55.7,258.1,163.6,66.3,26.6,1.7,80.6
Harju county,2010,609.7,129.5,378.5,269.6,81.0,25.0,3.0,101.7
Harju county,2011,630.0,97.8,469.4,301.9,144.1,23.2,0.2,62.8
Harju county,2012,921.0,176.7,674.1,322.9,291.7,58.1,1.4,70.2
Harju county,2013,962.5,76.5,730.3,440.1,238.6,49.8,1.9,155.8
Harju county,2014,517.8,89.5,379.1,143.5,198.5,37.1,0.0,49.2
Harju county,2015,581.7,104.5,388.0,169.4,202.6,16.0,0.0,89.2
Harju county,2016,651.7,55.8,506.8,238.6,256.0,12.2,0.0,89.1
Harju county,2017,704.2,69.7,547.3,233.7,293.0,20.6,0.0,87.2
Harju county,2018,641.1,10.6,556.4,245.2,279.9,31.2,0.0,74.1
Harju county,2019,827.7,21.4,747.6,368.7,358.1,18.9,1.9,58.8
Harju county,2020,652.2,10.8,626.8,269.1,303.7,54.0,0.0,14.6
Harju county,2021,761.0,7.2,704.9,328.3,368.9,7.7,0.0,49.0
Harju county,2022,922.4,0.0,894.0,447.3,408.9,35.1,2.6,28.4
Harju county,2023,877.6,0.0,833.9,424.7,401.9,6.1,1.2,43.7
Harju county,2024,591.6,0.0,549.2,265.5,220.1,46.7,16.8,42.4
Hiiu county,1991,..,..,..,..,..,..,..,..
Hiiu county,1992,..,..,..,..,..,..,..,..
Hiiu county,1993,86.4,40.0,46.4,..,..,..,..,0.0
Hiiu county,1994,68.6,37.5,31.1,..,..,..,..,0.0
Hiiu county,1995,86.8,26.8,46.0,..,..,..,..,14.0
Hiiu county,1996,141.0,71.8,28.7,..,..,..,..,40.5
Hiiu county,1997,121.5,49.5,33.9,..,..,..,..,38.1
Hiiu county,1998,148.4,84.5,41.3,..,..,..,..,22.6
Hiiu county,1999,180.0,95.5,50.9,29.0,4.0,16.9,1.0,33.6
Hiiu county,2000,187.5,102.7,47.1,36.8,0.0,10.3,0.0,37.7
Hiiu county,2001,220.5,123.1,52.0,44.7,1.6,5.7,0.0,45.4
Hiiu county,2002,246.3,109.8,50.8,34.0,11.4,5.4,0.0,85.7
Hiiu county,2003,294.1,106.1,80.5,54.1,20.5,5.9,0.0,107.5
Hiiu county,2004,194.4,112.4,53.6,43.3,10.3,0.0,0.0,28.4
Hiiu county,2005,187.7,75.2,51.4,46.3,3.4,1.7,0.0,61.1
Hiiu county,2006,252.9,89.6,80.9,39.9,40.0,1.0,0.0,82.4
Hiiu county,2007,190.3,104.7,68.7,38.5,24.7,5.5,0.0,16.9
Hiiu county,2008,143.7,88.4,55.3,31.6,23.7,0.0,0.0,0.0
Hiiu county,2009,99.0,34.6,47.8,39.7,8.2,0.0,0.0,16.6
Hiiu county,2010,125.7,45.0,33.0,24.3,8.7,0.0,0.0,47.7
Hiiu county,2011,163.6,21.4,54.1,52.4,0.5,1.2,0.0,88.1
Hiiu county,2012,224.2,68.7,47.9,19.7,28.2,0.0,0.0,107.6
Hiiu county,2013,204.6,67.6,55.3,35.8,17.3,2.2,0.0,81.7
Hiiu county,2014,206.1,85.3,51.6,27.2,24.4,0.0,0.0,69.2
Hiiu county,2015,217.0,47.4,93.6,47.2,43.4,3.0,0.0,76.1
Hiiu county,2016,170.8,9.5,146.3,59.5,74.7,12.1,0.0,15.1
Hiiu county,2017,237.5,0.0,204.7,110.9,81.4,12.4,0.0,32.8
Hiiu county,2018,282.8,0.0,222.6,115.6,102.3,4.8,0.0,60.2
Hiiu county,2019,296.6,0.2,238.8,87.8,142.8,8.2,0.0,57.6
Hiiu county,2020,210.4,0.0,178.7,67.1,107.4,4.1,0.0,31.7
Hiiu county,2021,286.4,0.0,273.0,59.5,192.7,20.8,0.0,13.4
Hiiu county,2022,226.7,0.0,199.2,23.1,155.3,20.8,0.0,27.5
Hiiu county,2023,140.8,0.0,121.9,28.8,93.1,0.0,0.0,18.8
Hiiu county,2024,97.4,0.0,63.1,30.8,31.1,1.2,0.0,34.3
Ida-Viru county,1991,..,..,..,..,..,..,..,..
Ida-Viru county,1992,..,..,..,..,..,..,..,..
Ida-Viru county,1993,584.1,134.4,339.3,..,..,..,..,110.4
