"ļ»æ""Type of meat""",Indicator,1 January 2002 - 31 December 2002,1 January 2003 - 31 December 2003,1 January 2004 - 31 December 2004,1 January 2005 - 31 December 2005,1 January 2006 - 31 December 2006,1 January 2007 - 31 December 2007,1 January 2008 - 31 December 2008,1 January 2009 - 31 December 2009,1 January 2010 - 31 December 2010,1 January 2011 - 31 December 2011,1 January 2012 - 31 December 2012,1 January 2013 - 31 December 2013,1 January 2014 - 31 December 2014,1 January 2015 - 31 December 2015,1 January 2016 - 31 December 2016,1 January 2017 - 31 December 2017,1 January 2018 - 31 December 2018,1 January 2019 - 31 December 2019,1 January 2020 - 31 December 2020,1 January 2021 - 31 December 2021,1 January 2022 - 31 December 2022,1 January 2023 - 31 December 2023,1 January 2024 - 31 December 2024
Meat and offals total,"Gross indigenous production*, thousand tons",70.8,70.1,71.3,69.7,72.4,73.1,77.2,78.3,77.7,82.8,80.8,82.1,83.1,88.2,80.6,74.0,76.9,78.9,82.7,84.8,82.4,77.9,78.9
Meat and offals total,"Imports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Meat and offals total,"Exports of live animals for slaughtering, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Meat and offals total,"Imports of meat, thousand tons",42.0,46.5,41.9,46.1,50.7,49.9,55.7,54.0,63.7,68.0,63.7,64.2,55.6,61.5,70.2,70.1,83.5,76.8,69.1,73.8,78.9,81.6,82.1
Meat and offals total,"Exports of meat, thousand tons",22.8,24.9,20.5,20.7,25.1,23.7,33.0,37.6,43.5,56.5,51.3,56.3,45.0,47.4,40.8,41.4,45.4,48.7,47.4,49.3,54.3,54.1,50.4
Meat and offals total,"Changes in stocks, thousand tons",0.5,0.6,-1.2,0.6,3.5,3.5,-1.3,-3.8,3.5,-3.1,2.6,-0.9,1.4,0.8,1.8,-0.9,..,..,..,..,..,..,..
Meat and offals total,"Domestic use, thousand tons",89.5,91.1,93.9,94.5,94.5,95.8,101.2,98.5,94.4,97.4,90.6,90.9,92.3,101.5,105.5,103.6,115.0,107.0,104.4,109.3,107.0,105.4,110.6
Meat and offals total,"..loss, thousand tons",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Meat and offals total,"..used as animal feed, thousand tons",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Meat and offals total,"..human consumption, thousand tons",89.4,91.0,93.8,94.4,94.4,95.7,101.1,98.4,94.3,97.3,90.5,90.8,92.2,101.4,108.1,103.4,114.9,106.9,104.3,109.2,106.9,105.3,110.5
